,building_area,ratio_green_area,roof_height,ground_elev,xcoord,ycoord,borough,construction_year,digitized,area_type,green_roof_area,clusters_6
0,14057,0.07,59,90,-73.93491,40.67389,BK,1900,1,public,971,4
17,50596,0.05,36,16,-73.91616,40.62928,BK,1990,1,residential,2295,4
19,22367,0.04,48,4,-73.93909,40.58326,BK,1990,0,residential,931,4
20,13242,0.21,39,13,-73.95866,40.73035,BK,1930,0,industrial,2807,4
31,46630,0.09,41,15,-73.9173,40.6301,BK,1990,1,residential,4160,4
34,46505,0.24,37,18,-73.99213,40.70289,BK,1990,0,public,11084,4
56,2776,0.55,64,39,-73.99065,40.74065,MN,1900,1,residential,1535,4
57,10912,0.3,96,53,-73.9958,40.6794,BK,1990,1,commercial,3303,4
66,37569,0.22,31,26,-73.96629,40.7151,BK,1900,0,commercial,8317,4
75,1413,0.56,23,70,-73.99561,40.69392,BK,1900,0,commercial,788,4
78,13084,0.08,24,13,-74.07463,40.63678,SI,1930,1,residential,1019,4
96,1031,0.76,31,157,-73.97712,40.66538,BK,1900,1,commercial,779,4
99,1414,0.07,41,92,-73.99237,40.66047,BK,1990,1,residential,98,4
101,12154,0.8,20,8,-74.01111,40.67389,BK,1930,1,commercial,9743,4
104,4302,0.28,48,64,-73.93694,40.69895,BK,1900,0,residential,1201,4
115,57327,0.08,38,12,-73.95969,40.73428,BK,1930,1,commercial,4622,4
116,592,0.38,18,64,-73.99399,40.69982,BK,1800,1,industrial,224,4
121,4886,0.42,47,1,-74.0724,40.62993,SI,1990,1,commercial,2035,4
122,1467,0.22,46,46,-73.92721,40.70239,BK,1990,1,commercial,320,4
135,39532,0.11,130,85,-73.99183,40.69627,BK,1960,0,commercial,4222,4
150,717,0.17,37,18,-74.00354,40.68239,BK,1930,1,residential,121,4
156,19785,0.34,185,35,-73.95828,40.71857,BK,1990,0,residential,6729,4
166,678,0.6,54,27,-74.00331,40.73599,MN,1850,0,commercial,405,4
168,12189,0.26,60,93,-73.95644,40.67735,BK,1930,1,industrial,3185,4
171,1121,0.04,46,26,-73.94966,40.71087,BK,1990,1,commercial,45,4
173,808,0.71,40,51,-73.9517,40.68477,BK,1850,0,commercial,573,4
174,8587,0.43,16,19,-74.00005,40.73087,MN,1930,1,residential,3654,4
175,9955,0.64,16,10,-73.99775,40.67368,BK,1960,0,residential,6325,4
183,59643,0.08,126,7,-73.9956,40.57383,BK,1990,0,residential,5060,4
184,16847,0.15,98,61,-73.96466,40.65354,BK,1900,0,residential,2496,4
185,1903,0.17,47,120,-73.9755,40.66976,BK,1960,0,residential,320,4
188,6994,0.15,34,42,-73.97778,40.686,BK,1900,1,commercial,1054,4
195,5961,0.19,49,88,-73.9895,40.66506,BK,1990,0,commercial,1109,4
197,1481,0.12,35,91,-73.99247,40.66049,BK,1850,0,residential,176,4
210,26256,0.22,87,20,-73.94318,40.70264,BK,1990,0,residential,5815,4
218,1053,0.21,39,67,-73.97175,40.69103,BK,1900,0,residential,216,4
244,12322,0.2,54,21,-73.91079,40.656,BK,1990,0,industrial,2412,4
249,3074,0.09,29,6,-73.98237,40.57849,BK,1930,0,residential,290,4
252,43385,0.08,49,43,-74.03295,40.60918,BK,1930,0,commercial,3417,4
254,3721,0.98,15,38,-74.03206,40.60893,BK,1930,0,residential,3630,4
256,2856,0.48,62,39,-73.95361,40.64716,BK,1930,0,residential,1365,4
269,522,0.54,49,38,-73.99021,40.72434,MN,1900,0,commercial,280,4
273,585,0.62,40,46,-73.9612,40.71431,BK,1990,0,commercial,360,4
283,9354,0.04,142,51,-73.97394,40.64907,BK,1930,0,commercial,369,4
284,3800,0.04,25,10,-73.9867,40.67791,BK,1930,0,residential,163,4
288,47484,0.16,122,84,-74.07732,40.64069,SI,1990,0,commercial,7636,4
293,4251,0.15,50,141,-73.98007,40.6651,BK,1990,1,commercial,633,4
295,3220,0.19,28,6,-73.98214,40.5786,BK,1930,0,commercial,621,4
299,23800,0.09,60,69,-73.93511,40.69928,BK,1990,1,industrial,2084,4
303,2010,0.15,29,104,-73.9419,40.66703,BK,1900,0,industrial,307,4
308,4862,0.02,120,31,-73.98883,40.67101,BK,1990,1,commercial,80,4
322,1096,0.59,25,61,-73.95289,40.65977,BK,1900,1,commercial,651,4
324,15877,0.15,49,55,-73.97282,40.68183,BK,1990,0,residential,2411,4
325,14062,0.17,57,115,-73.93144,40.66989,BK,1990,0,commercial,2407,4
329,49623,0.14,72,6,-73.95295,40.71723,BK,1990,0,industrial,7004,4
334,723,0.08,39,49,-73.99477,40.67901,BK,1900,1,commercial,55,4
335,12132,0.04,119,28,-73.98184,40.67972,BK,1990,0,residential,527,4
337,1633,0.35,37,40,-73.99762,40.69308,BK,1900,0,commercial,574,4
348,32592,0.03,25,16,-73.90272,40.65601,BK,1930,1,commercial,1071,4
350,2276,0.49,16,21,-73.98329,40.72305,MN,1930,0,commercial,1125,4
354,1370,0.17,55,139,-73.9724,40.67072,BK,1900,0,residential,235,4
356,11773,0.16,143,40,-73.98741,40.68915,BK,1990,0,commercial,1852,4
361,5636,0.06,31,10,-73.98689,40.68188,BK,1900,0,residential,365,4
