building_area,roof_height,borough,construction_year,area_type,green_roof_area,clusters_5
4834,151,MN,1900,commercial,421,3
1121,46,BK,1990,commercial,45,0
9397,218,MN,1990,residential,2367,3
808,40,BK,1850,commercial,573,0
8587,16,MN,1930,residential,3654,3
9955,16,BK,1960,residential,6325,0
23141,301,MN,1960,industrial,764,1
94054,50,MN,1990,residential,5942,2
14421,142,MN,1990,commercial,3945,3
17407,89,MN,1990,commercial,2206,3
3168,85,MN,1990,residential,925,3
6740,29,BX,1990,residential,2674,0
4375,75,MN,1850,residential,190,3
59643,126,BK,1990,residential,5060,0
16847,98,BK,1900,residential,2496,0
1903,47,BK,1960,residential,320,0
9029,24,BX,1990,residential,1123,0
8939,135,MN,1990,residential,246,3
6994,34,BK,1900,commercial,1054,0
20452,48,BX,1930,commercial,966,0
23432,180,MN,1900,public,185,3
14925,363,MN,1990,industrial,1961,1
10848,382,MN,1960,residential,630,1
19852,450,MN,1990,residential,1736,1
33931,289,MN,1960,commercial,422,1
5961,49,BK,1990,commercial,1109,0
2260,76,MN,1900,commercial,195,3
1481,35,BK,1850,residential,176,0
37114,73,BX,1990,residential,5395,0
76799,178,MN,1900,industrial,3102,2
2559,40,QN,1900,commercial,424,0
16210,138,MN,1900,industrial,1384,3
26427,67,QN,1930,residential,6197,0
20546,316,MN,1900,residential,316,1
52983,700,MN,1960,commercial,8144,1
8154,151,MN,1900,commercial,1009,3
4307,104,MN,1900,industrial,183,3
37731,138,MN,1930,residential,606,3
21553,185,MN,1960,residential,240,3
24772,332,MN,1960,commercial,214,1
26256,87,BK,1990,residential,5815,0
15491,87,MN,1990,residential,1549,3
133204,320,MN,1930,commercial,610,2
22231,212,MN,1990,commercial,1009,3
26020,320,MN,1990,residential,2601,1
41670,87,QN,1900,industrial,27247,4
6098,92,MN,1900,industrial,662,3
16459,58,MN,1960,commercial,1668,3
1053,39,BK,1900,residential,216,0
1894,89,MN,1900,residential,304,3
18317,342,MN,1930,commercial,7457,1
860,40,MN,1850,commercial,255,3
9617,214,MN,1990,residential,1367,3
24110,73,MN,1990,commercial,1646,3
1979,16,MN,1900,residential,858,3
40514,220,MN,1900,commercial,305,3
15645,284,MN,1900,commercial,744,1
12881,132,MN,1990,commercial,3433,3
6048,74,MN,1900,residential,444,3
17831,80,MN,1990,residential,804,3
