,building_area,ratio_green_area,roof_height,ground_elev,xcoord,ycoord,borough,construction_year,digitized,area_type,green_roof_area,clusters_6
10,152909,0.36,179,90,-73.98513,40.77092,MN,1930,0,commercial,54774,0
33,53638,0.45,25,70,-73.96419,40.65729,BK,1930,1,industrial,24015,0
67,63467,0.4,35,14,-73.92309,40.79931,MN,1990,1,industrial,25420,0
215,41670,0.65,87,27,-73.92535,40.75194,QN,1900,1,industrial,27247,0
245,174248,0.3,201,25,-74.00012,40.75131,MN,1930,1,residential,52131,0
263,64956,0.5,299,85,-73.96655,40.79472,MN,1990,0,residential,32252,0
341,224776,0.29,50,7,-74.01159,40.67161,BK,1990,1,residential,66025,0
406,83074,0.6,129,12,-74.01023,40.72684,MN,1990,1,industrial,49895,0
447,94646,0.3,216,51,-73.98944,40.77076,MN,1990,0,industrial,28669,0
549,65005,0.64,142,12,-73.97255,40.6984,BK,1930,1,commercial,41338,0
638,126149,0.44,74,9,-73.93698,40.82205,MN,1990,1,commercial,55140,0
679,56132,0.46,27,114,-73.95048,40.81585,MN,1930,0,residential,26045,0
