building_area,roof_height,borough,construction_year,area_type,green_roof_area,clusters_4
14057,59,BK,1900,public,971,1
4463,13,MN,1900,commercial,696,1
13217,93,MN,1900,commercial,293,1
4311,99,MN,1900,commercial,759,1
35891,206,BX,1990,commercial,7204,1
1124,54,MN,1900,residential,155,1
5813,118,MN,1900,commercial,147,1
4939,66,MN,1960,commercial,215,1
2200,61,MN,1990,commercial,230,1
1130,54,MN,1900,residential,238,1
152909,179,MN,1930,commercial,54774,3
86153,568,MN,1960,commercial,2010,2
1615,46,MN,1900,residential,262,1
8404,230,MN,1930,residential,161,1
29374,410,MN,1990,commercial,1237,2
21232,210,MN,1960,residential,353,1
21270,58,BX,1990,industrial,2010,1
50596,36,BK,1990,residential,2295,1
1166,29,BX,1900,residential,639,1
22367,48,BK,1990,residential,931,1
13242,39,BK,1930,industrial,2807,1
33358,223,QN,1960,residential,12684,0
1513,78,MN,1990,residential,188,1
22260,253,BK,1960,residential,949,1
11437,44,BX,1850,residential,6256,1
12738,91,MN,1900,commercial,2250,1
49776,182,QN,1960,commercial,2448,0
14854,85,BX,1990,residential,2976,1
4868,38,MN,1900,commercial,1243,1
30356,181,MN,1900,commercial,5661,1
2371,80,MN,1990,commercial,180,1
46630,41,BK,1990,residential,4160,1
8081,144,MN,1960,residential,1594,1
53638,25,BK,1930,industrial,24015,3
46505,37,BK,1990,public,11084,0
47633,609,MN,1990,industrial,2634,2
11177,173,MN,1990,commercial,1081,1
7257,83,MN,1990,commercial,469,1
47544,70,BK,1990,residential,1837,1
10454,87,MN,1900,industrial,191,1
36935,168,MN,1990,industrial,4517,1
14749,230,MN,1990,commercial,4277,1
51609,143,MN,1990,residential,4237,0
30570,222,MN,1990,commercial,1358,2
13488,41,BX,1930,commercial,6643,1
15623,203,MN,1900,industrial,603,1
12549,210,MN,1930,residential,837,1
1233,55,MN,1900,residential,133,1
11745,32,BX,1850,residential,1445,1
14160,240,MN,1990,industrial,2103,1
5127,173,MN,1930,commercial,514,1
2197,54,MN,1900,residential,800,1
62987,80,MN,1990,residential,6416,0
8645,136,MN,1990,public,742,1
177959,71,MN,1960,commercial,4160,0
3370,28,BX,1960,residential,1794,1
2776,64,MN,1900,residential,1535,1
10912,96,BK,1990,commercial,3303,1
22732,183,MN,1990,residential,5268,1
10791,149,MN,1900,residential,411,1
11265,60,MN,1930,commercial,909,1
29208,98,BX,1930,residential,3331,1
30171,356,MN,1990,residential,4479,2
9379,189,MN,1990,commercial,670,1
16159,87,MN,1900,residential,519,1
30685,269,MN,1930,commercial,6957,2
37569,31,BK,1900,commercial,8317,1
63467,35,MN,1990,industrial,25420,3
34643,213,MN,1990,public,2732,1
20925,181,MN,1930,commercial,5869,1
11086,20,MN,1930,residential,932,1
23147,18,MN,1930,residential,6410,1
1612,53,MN,1900,residential,486,1
11733,55,BX,1900,residential,1914,1
18241,101,MN,1900,residential,1374,1
1413,23,BK,1900,commercial,788,1
1044,31,MN,1850,residential,425,1
15968,161,MN,1990,residential,7073,1
13084,24,SI,1930,residential,1019,1
22597,113,MN,1990,commercial,1589,1
26198,249,MN,1990,commercial,1854,2
1779,49,MN,1900,commercial,135,1
1669,62,MN,1900,residential,612,1
5946,86,MN,1900,public,244,1
27743,355,MN,1930,industrial,975,2
1626,44,MN,1900,residential,202,1
24267,299,MN,1900,residential,1886,2
6938,83,BX,1990,commercial,1380,1
66508,328,MN,1990,residential,3798,2
52632,1408,MN,1990,commercial,788,2
23032,53,MN,1990,commercial,4603,1
23767,384,MN,1990,commercial,4321,2
48599,467,QN,1990,commercial,9109,2
4169,72,BX,1990,industrial,1329,1
33425,89,BK,1930,residential,2412,1
2361,41,MN,1900,industrial,564,1
1031,31,BK,1900,commercial,779,1
10128,101,MN,1900,residential,853,1
1670,58,BX,1990,residential,1232,1
1414,41,BK,1990,residential,98,1
5647,89,MN,1900,residential,2748,1
12154,20,BK,1930,commercial,9743,1
10531,77,MN,1930,industrial,1062,1
1407,59,BX,1990,industrial,272,1
4302,48,BK,1900,residential,1201,1
16322,284,MN,1990,industrial,6688,2
30457,93,BX,1990,residential,4805,1
9654,69,MN,1990,residential,6043,1
15668,146,MN,1990,residential,810,1
1709,59,BX,1990,residential,230,1
2389,71,BX,1990,residential,1415,1
8567,173,MN,1900,residential,1742,1
2343,51,BX,1990,residential,1600,1
5771,146,MN,1990,residential,578,1
145737,714,MN,1990,residential,4848,2
57327,38,BK,1930,commercial,4622,0
592,18,BK,1800,industrial,224,1
62952,245,MN,1930,residential,545,2
2493,67,MN,1900,industrial,778,1
6076,107,BX,1990,commercial,1482,1
7777,217,MN,1990,residential,303,1
4886,47,SI,1990,commercial,2035,1
1467,46,BK,1990,commercial,320,1
2214,57,BX,1990,residential,1601,1
10520,60,BX,1900,residential,691,1
10996,103,BX,1990,residential,1198,1
81471,442,MN,1930,residential,5171,2
6959,147,QN,1990,commercial,1419,1
19139,51,BX,1990,industrial,3511,1
46819,35,BX,1960,residential,4420,0
2103,100,MN,1900,public,60,1
8384,73,BX,1990,residential,2810,1
44246,297,BK,1960,residential,8855,0
29285,70,QN,1930,residential,8406,1
20300,19,MN,1900,residential,3950,1
39532,130,BK,1960,commercial,4222,1
3227,42,MN,1930,residential,862,1
1652,46,MN,1900,residential,538,1
6530,36,MN,1990,commercial,905,1
2910,54,BX,1930,industrial,437,1
163605,103,QN,1930,residential,8324,0
108557,194,QN,1990,residential,23421,3
1882,51,BX,1990,commercial,1396,1
3306,41,MN,1900,residential,674,1
945,42,MN,1900,commercial,367,1
20574,134,MN,1900,residential,4233,1
65516,71,MN,1930,commercial,1039,0
69806,740,MN,1990,residential,9737,2
5605,86,MN,1900,residential,254,1
48764,132,MN,1900,industrial,3137,1
717,37,BK,1930,residential,121,1
23565,405,MN,1990,residential,1496,2
14830,64,MN,1960,commercial,1404,1
43011,97,BX,1960,commercial,2521,1
33126,52,BX,1930,commercial,4197,1
11144,154,MN,1900,public,303,1
19785,185,BK,1990,residential,6729,1
7845,171,MN,1900,residential,676,1
23539,122,MN,1990,commercial,2534,1
87895,103,QN,1930,commercial,6555,0
8079,75,MN,1900,public,449,1
5554,39,QN,1990,industrial,295,1
986,56,MN,1990,residential,231,1
