building_area,roof_height,borough,construction_year,area_type,green_roof_area,clusters_4
2538,47,BX,1900,residential,1313,1
18066,93,BX,1990,industrial,2112,1
14285,255,MN,1900,residential,1134,1
678,54,MN,1850,commercial,405,1
26728,167,MN,1900,residential,1491,1
12189,60,BK,1930,industrial,3185,1
85500,1238,MN,1930,industrial,7992,2
4834,151,MN,1900,commercial,421,1
1121,46,BK,1990,commercial,45,1
9397,218,MN,1990,residential,2367,1
808,40,BK,1850,commercial,573,1
8587,16,MN,1930,residential,3654,1
9955,16,BK,1960,residential,6325,1
23141,301,MN,1960,industrial,764,2
94054,50,MN,1990,residential,5942,0
14421,142,MN,1990,commercial,3945,1
17407,89,MN,1990,commercial,2206,1
3168,85,MN,1990,residential,925,1
6740,29,BX,1990,residential,2674,1
4375,75,MN,1850,residential,190,1
59643,126,BK,1990,residential,5060,0
16847,98,BK,1900,residential,2496,1
1903,47,BK,1960,residential,320,1
9029,24,BX,1990,residential,1123,1
8939,135,MN,1990,residential,246,1
6994,34,BK,1900,commercial,1054,1
20452,48,BX,1930,commercial,966,1
23432,180,MN,1900,public,185,1
14925,363,MN,1990,industrial,1961,2
10848,382,MN,1960,residential,630,2
19852,450,MN,1990,residential,1736,2
33931,289,MN,1960,commercial,422,2
5961,49,BK,1990,commercial,1109,1
2260,76,MN,1900,commercial,195,1
1481,35,BK,1850,residential,176,1
37114,73,BX,1990,residential,5395,1
76799,178,MN,1900,industrial,3102,0
2559,40,QN,1900,commercial,424,1
16210,138,MN,1900,industrial,1384,1
26427,67,QN,1930,residential,6197,1
20546,316,MN,1900,residential,316,2
52983,700,MN,1960,commercial,8144,2
8154,151,MN,1900,commercial,1009,1
4307,104,MN,1900,industrial,183,1
37731,138,MN,1930,residential,606,1
21553,185,MN,1960,residential,240,1
24772,332,MN,1960,commercial,214,2
26256,87,BK,1990,residential,5815,1
15491,87,MN,1990,residential,1549,1
133204,320,MN,1930,commercial,610,0
22231,212,MN,1990,commercial,1009,1
26020,320,MN,1990,residential,2601,2
41670,87,QN,1900,industrial,27247,3
6098,92,MN,1900,industrial,662,1
16459,58,MN,1960,commercial,1668,1
1053,39,BK,1900,residential,216,1
1894,89,MN,1900,residential,304,1
18317,342,MN,1930,commercial,7457,2
860,40,MN,1850,commercial,255,1
9617,214,MN,1990,residential,1367,1
24110,73,MN,1990,commercial,1646,1
1979,16,MN,1900,residential,858,1
40514,220,MN,1900,commercial,305,1
15645,284,MN,1900,commercial,744,2
12881,132,MN,1990,commercial,3433,1
6048,74,MN,1900,residential,444,1
17831,80,MN,1990,residential,804,1
7298,26,BX,1990,commercial,5365,1
5127,267,MN,1990,industrial,540,1
4885,79,MN,1900,commercial,1680,1
59798,85,BK,1900,residential,1181,0
12389,160,BX,1960,residential,1740,1
16188,142,BK,1930,residential,499,1
4905,14,MN,1990,industrial,955,1
16597,80,MN,1960,commercial,867,1
57561,8,MN,1930,residential,9622,0
17186,155,MN,1990,commercial,4960,1
8587,113,MN,1900,commercial,942,1
734,49,MN,1900,industrial,41,1
22095,605,MN,1990,commercial,699,2
1614,21,QN,1900,commercial,241,1
12322,54,BK,1990,industrial,2412,1
174248,201,MN,1930,residential,52131,3
13655,127,MN,1930,industrial,1960,1
12822,210,MN,1930,commercial,636,1
10204,64,BX,1990,commercial,3974,1
3074,29,BK,1930,residential,290,1
23806,295,MN,1930,residential,1398,2
17920,336,MN,1900,commercial,734,2
43385,49,BK,1930,commercial,3417,1
28805,83,MN,1960,residential,9409,1
3721,15,BK,1930,residential,3630,1
35650,299,MN,1960,residential,5178,2
2856,62,BK,1930,residential,1365,1
2562,90,MN,1850,residential,247,1
24043,319,MN,1960,industrial,363,2
2836,91,MN,1900,industrial,123,1
13588,129,MN,1930,industrial,2091,1
36956,331,MN,1900,commercial,1929,2
71875,179,MN,1960,industrial,2642,0
64956,299,MN,1990,residential,32252,3
1507,43,MN,1990,residential,78,1
14039,228,MN,1930,commercial,262,1
2495,88,MN,1900,residential,195,1
57157,281,QN,1900,residential,1368,2
6611,183,MN,1900,commercial,226,1
522,49,MN,1900,commercial,280,1
162276,79,QN,1990,commercial,8915,0
20021,491,MN,1960,industrial,6688,2
1696,75,MN,1990,commercial,220,1
585,40,BK,1990,commercial,360,1
13756,168,MN,1900,residential,726,1
71917,92,MN,1960,commercial,5484,0
940,39,MN,1850,commercial,161,1
20275,149,QN,1930,residential,1160,1
9725,77,BX,1990,industrial,1957,1
157733,296,BK,1960,residential,9518,0
45605,328,MN,1990,residential,3103,2
16739,104,QN,1960,residential,888,1
4375,70,MN,1900,residential,520,1
9354,142,BK,1930,commercial,369,1
3800,25,BK,1930,residential,163,1
2455,76,MN,1900,industrial,390,1
76300,273,MN,1960,commercial,12892,0
26433,198,MN,1990,commercial,5808,1
47484,122,SI,1990,commercial,7636,0
4343,93,MN,1900,commercial,832,1
17873,40,BX,1900,industrial,5639,1
9451,70,BK,1990,public,667,1
23742,188,MN,1990,industrial,1127,1
4251,50,BK,1990,commercial,633,1
47340,259,MN,1990,residential,4063,2
3220,28,BK,1930,commercial,621,1
17717,143,MN,1900,residential,2194,1
34048,294,BK,1960,commercial,4347,2
6897,177,MN,1990,residential,126,1
23800,60,BK,1990,industrial,2084,1
127092,191,BK,1900,residential,2441,0
24653,300,MN,1990,industrial,2467,2
8061,94,MN,1900,commercial,263,1
2010,29,BK,1900,industrial,307,1
8882,117,MN,1990,residential,2843,1
17787,25,MN,1930,commercial,1372,1
27154,403,MN,1960,public,1315,2
9437,161,MN,1960,residential,1538,1
4862,120,BK,1990,commercial,80,1
2821,55,MN,1900,residential,930,1
1731,91,MN,1900,commercial,752,1
7247,140,MN,1930,commercial,565,1
2633,68,MN,1900,residential,643,1
1366,45,MN,1850,residential,76,1
14670,378,MN,1990,residential,1912,2
35714,15,BK,1990,residential,4412,1
9573,164,MN,1990,industrial,407,1
34017,83,MN,1990,commercial,2813,1
950,55,MN,1900,residential,10,1
55894,319,QN,1990,residential,10549,0
14762,282,MN,1990,industrial,1026,2
12208,138,MN,1900,residential,1936,1
1096,25,BK,1900,commercial,651,1
1342,60,MN,1900,residential,384,1
15877,49,BK,1990,residential,2411,1
14062,57,BK,1990,commercial,2407,1
13755,136,MN,1990,residential,1580,1
6057,75,BX,1930,residential,2164,1
33307,68,BK,1990,residential,502,1
49623,72,BK,1990,industrial,7004,0
62229,155,MN,1990,industrial,13361,0
10554,118,BX,1990,commercial,1681,1
2568,39,BX,1900,residential,1209,1
6008,148,MN,1930,residential,1458,1
723,39,BK,1900,commercial,55,1
12132,119,BK,1990,residential,527,1
8083,136,MN,1930,residential,160,1
1633,37,BK,1900,commercial,574,1
1501,43,MN,1900,residential,357,1
52079,122,MN,1930,residential,1396,1
5802,51,MN,1960,commercial,311,1
224776,50,BK,1990,residential,66025,3
7161,79,BX,1990,industrial,1074,1
1496,67,MN,1990,residential,139,1
5673,105,MN,1900,residential,889,1
22476,188,MN,1960,commercial,404,1
26623,67,QN,1930,commercial,4458,1
2930,103,MN,1960,industrial,574,1
32592,25,BK,1930,commercial,1071,1
4259,91,MN,1900,public,271,1
2276,16,MN,1930,commercial,1125,1
16479,217,MN,1990,residential,2539,1
24645,506,MN,1990,commercial,4483,2
1166,44,MN,1850,commercial,109,1
1370,55,BK,1900,residential,235,1
2715,69,MN,1900,residential,270,1
11773,143,BK,1990,commercial,1852,1
30625,96,MN,1990,commercial,1675,1
2914,85,MN,1900,residential,1179,1
7406,79,MN,1900,commercial,1519,1
8054,124,MN,1900,industrial,1902,1
5636,31,BK,1900,residential,365,1
28794,340,MN,1990,industrial,3071,2
6622,66,BX,1990,residential,743,1
104089,185,QN,1990,residential,12907,0
25382,370,MN,1960,commercial,1650,2
1224,60,MN,1900,commercial,267,1
9729,248,MN,1990,residential,1481,1
7458,81,MN,1900,commercial,1295,1
5686,80,MN,1900,commercial,424,1
12035,227,MN,1900,commercial,776,1
4874,74,MN,1900,industrial,392,1
7036,96,BK,1960,commercial,2910,1
10512,17,MN,1900,residential,2290,1
1588,18,BK,1990,residential,160,1
10654,19,QN,1960,residential,6713,1
4116,52,BX,1930,industrial,2785,1
19697,83,MN,1900,residential,159,1
32603,115,BX,1960,commercial,16067,0
78619,393,QN,1990,residential,6672,2
7355,58,BX,1990,industrial,2694,1
1651,55,BK,1850,residential,178,1
4580,11,BK,1930,residential,1430,1
5084,14,BK,1930,residential,826,1
26073,353,MN,1990,residential,3893,2
1012,36,MN,1900,residential,193,1
1634,40,BK,1990,commercial,216,1
2202,63,MN,1850,residential,662,1
26766,90,QN,1990,residential,5832,1
5853,17,QN,1900,residential,2575,1
11516,98,MN,1900,industrial,249,1
19212,251,MN,1900,industrial,615,1
31241,41,BK,1930,residential,1016,1
738,57,BK,1990,industrial,34,1
5464,51,BX,1990,residential,487,1
14642,422,MN,1960,residential,1426,2
31661,597,MN,1900,residential,606,2
87601,117,QN,1960,commercial,13282,0
11049,157,MN,1900,commercial,242,1
1435,49,BK,1900,residential,261,1
28866,446,MN,1960,commercial,1286,2
2020,67,MN,1930,residential,358,1
34539,191,MN,1990,commercial,14651,0
6426,65,MN,1990,commercial,811,1
112685,35,BX,1960,residential,10032,0
32302,35,BK,1990,residential,15430,0
83074,129,MN,1990,industrial,49895,3
27699,263,QN,1990,industrial,1142,2
6453,131,QN,1930,industrial,377,1
27751,206,MN,1930,industrial,1383,1
22728,146,MN,1900,industrial,2555,1
7546,108,MN,1930,residential,686,1
3646,20,BK,1930,commercial,3025,1
11096,157,MN,1900,commercial,670,1
9616,144,MN,1990,residential,692,1
11563,90,MN,1990,commercial,1277,1
1121,39,MN,1850,commercial,133,1
18421,76,QN,1930,commercial,719,1
4151,73,MN,1900,residential,386,1
36070,214,MN,1960,industrial,1864,1
2438,68,MN,1990,residential,966,1
1371,69,MN,1900,residential,27,1
2552,65,MN,1900,residential,395,1
1449,33,BK,1900,residential,266,1
6389,378,MN,1960,residential,489,2
3404,85,MN,1900,residential,1491,1
21703,223,MN,1900,residential,2747,1
20184,627,BK,1990,commercial,554,2
3542,51,BK,1990,industrial,543,1
19801,318,MN,1960,commercial,2189,2
7258,30,MN,1900,residential,974,1
39351,192,MN,1960,residential,12724,0
20292,48,BX,1900,commercial,946,1
23096,355,MN,1990,commercial,3998,2
18755,36,BK,1930,residential,854,1
18658,256,MN,1990,residential,5096,2
14706,77,MN,1900,public,1377,1
1862,59,BX,1930,residential,959,1
100651,46,QN,1930,residential,11895,0
26061,147,MN,1990,commercial,767,1
17538,86,MN,1900,industrial,2623,1
11517,58,MN,1960,commercial,786,1
721,17,BK,1900,commercial,574,1
58522,291,MN,1960,residential,6141,2
944,50,MN,1900,residential,181,1
12510,25,BX,1930,residential,7239,1
7745,74,MN,1900,residential,1645,1
94646,216,MN,1990,industrial,28669,3
38129,425,MN,1990,industrial,1659,2
25084,53,BK,1930,commercial,5037,1
3925,138,MN,1990,residential,235,1
6721,82,MN,1900,residential,122,1
7962,60,BX,1900,commercial,298,1
43037,83,BX,1900,industrial,6283,1
27718,67,BK,1960,residential,406,1
2086,61,MN,1900,residential,1610,1
3588,89,MN,1900,residential,80,1
1526,59,MN,1990,residential,135,1
7220,153,MN,1900,residential,700,1
18742,248,MN,1990,commercial,1183,2
851,40,BK,1990,industrial,154,1
629,41,MN,1900,commercial,28,1
60505,480,MN,1930,residential,788,2
919,46,MN,1900,residential,206,1
85062,887,MN,1990,commercial,5126,2
32345,183,MN,1930,residential,3128,1
1707,59,MN,1990,commercial,135,1
725,50,MN,1850,residential,333,1
7784,153,MN,1960,commercial,570,1
42864,350,QN,1990,commercial,4487,2
8133,78,BX,1900,residential,1565,1
79527,35,BK,1960,commercial,8020,0
1370,56,BK,1990,residential,223,1
8514,75,MN,1990,residential,484,1
9176,140,MN,1990,residential,1177,1
1702,60,BX,1930,residential,847,1
10322,26,MN,1990,industrial,618,1
1886,59,BX,1900,industrial,1091,1
11857,303,MN,1990,commercial,980,2
21272,86,MN,1900,industrial,12761,1
13288,431,MN,1930,commercial,1930,2
10358,151,MN,1900,commercial,4463,1
36452,78,QN,1990,residential,1942,1
46783,272,MN,1930,commercial,773,2
1355,69,MN,1900,commercial,124,1
17176,44,BX,1900,industrial,1320,1
1172,44,BK,1850,commercial,201,1
8049,80,MN,1900,residential,4853,1
6485,150,MN,1900,residential,807,1
17285,91,MN,1850,residential,148,1
781,36,BK,1850,residential,71,1
15442,169,MN,1990,industrial,4829,1
17896,224,MN,1900,commercial,1480,1
4954,229,MN,1990,residential,328,1
140402,60,SI,1930,residential,8971,0
37743,301,QN,1990,residential,6280,2
100293,28,MN,1960,commercial,11006,0
18377,355,MN,1990,industrial,5209,2
35050,306,MN,1930,industrial,1299,2
2064,63,MN,1900,commercial,770,1
20492,239,QN,1960,residential,1302,1
32520,595,BK,1990,commercial,1336,2
716,36,MN,1850,residential,191,1
16156,230,MN,1990,residential,925,1
10629,114,MN,1990,commercial,721,1
139709,258,BK,1960,residential,3637,0
30244,208,MN,1990,commercial,7864,2
47591,239,QN,1960,industrial,5957,0
35647,476,MN,1930,residential,4853,2
5871,122,MN,1900,commercial,292,1
12207,239,QN,1960,residential,1456,1
11684,50,BX,1930,commercial,6402,1
1688,58,MN,1930,residential,174,1
7714,143,MN,1990,residential,231,1
28015,226,MN,1990,residential,10113,2
21675,241,QN,1960,residential,914,1
550,35,QN,1900,commercial,79,1
29251,548,MN,1960,commercial,2569,2
8272,151,MN,1960,residential,2960,1
17912,60,BX,1990,residential,501,1
22348,30,BK,1930,commercial,773,1
58969,219,MN,1930,commercial,3389,0
885,43,BK,1850,residential,475,1
155406,646,MN,1960,residential,3321,2
6399,25,MN,1930,commercial,4440,1
9830,129,MN,1990,residential,2560,1
50858,47,QN,1990,residential,2176,1
23980,52,QN,1930,commercial,2787,1
1103,57,MN,1900,residential,87,1
56374,626,MN,1960,commercial,2497,2
6004,82,MN,1930,residential,1549,1
13474,145,MN,1990,residential,1175,1
46750,300,MN,1960,commercial,3828,2
14459,228,MN,1990,commercial,4728,1
19638,82,MN,1930,residential,1205,1
28493,104,MN,1990,residential,756,1
558,44,MN,1850,residential,234,1
949,13,BK,1930,commercial,153,1
12952,484,MN,1990,residential,1240,2
2466,14,BK,1930,residential,486,1
23959,95,QN,1900,residential,287,1
1182,21,BK,1900,commercial,639,1
1217,21,BK,1930,residential,168,1
9351,171,MN,1930,industrial,1589,1
23364,342,MN,1900,residential,88,2
6885,132,MN,1930,residential,554,1
9996,245,MN,1990,industrial,546,1
1751,40,MN,1900,commercial,457,1
115176,82,BX,1990,residential,5852,0
65005,142,BK,1930,commercial,41338,3
16469,184,MN,1930,commercial,737,1
40902,188,MN,1990,residential,12505,0
1012,48,MN,1900,industrial,586,1
2525,72,MN,1850,residential,890,1
46891,296,MN,1960,commercial,2523,2
72811,295,MN,1960,residential,4135,0
9129,75,MN,1990,residential,1172,1
18106,20,BK,1960,residential,2990,1
18475,194,MN,1990,residential,1569,1
35291,511,MN,1960,commercial,329,2
19383,166,MN,1960,residential,3915,1
2489,80,MN,1930,residential,552,1
4977,59,MN,1930,commercial,2188,1
280739,79,QN,1990,residential,9075,0
1057,51,MN,1850,residential,75,1
22411,119,MN,1990,commercial,5342,1
11568,51,BX,1930,public,4774,1
9723,88,BK,1990,residential,1152,1
26346,137,BK,1990,commercial,2855,1
8094,65,BK,1930,public,2199,1
98911,834,MN,1930,residential,14475,2
5614,111,MN,1850,commercial,228,1
9462,223,MN,1960,industrial,651,1
10443,74,BK,1930,commercial,3447,1
2486,75,MN,1990,industrial,258,1
7700,83,BX,1930,commercial,946,1
847,40,BK,1990,industrial,109,1
56895,708,MN,1930,residential,9836,2
4755,40,BK,1900,industrial,2784,1
71264,755,MN,1990,residential,3101,2
941,33,QN,1900,commercial,418,1
66989,389,MN,1900,residential,144,2
11307,119,BX,1990,industrial,2489,1
2050,28,BK,1930,industrial,364,1
48360,252,MN,1990,commercial,5086,2
1855,62,MN,1900,residential,557,1
5385,64,BK,1930,residential,1527,1
14728,275,MN,1990,commercial,1283,2
4491,144,MN,1850,residential,418,1
13116,166,MN,1990,industrial,520,1
1953,85,MN,1900,residential,258,1
9890,256,MN,1900,commercial,209,1
31007,214,MN,1990,commercial,6223,2
16830,184,MN,1990,industrial,578,1
15871,277,MN,1900,residential,587,1
21137,258,MN,1960,commercial,5016,2
34106,49,BX,1960,residential,1492,1
18384,74,MN,1990,commercial,999,1
23929,283,MN,1960,commercial,4780,2
1926,60,MN,1900,industrial,136,1
1096,35,BK,1800,commercial,187,1
1497,54,MN,1900,commercial,97,1
7114,29,MN,1930,residential,434,1
11265,107,MN,1990,residential,1810,1
11315,80,MN,1990,residential,2089,1
28215,77,MN,1960,residential,14489,0
18965,100,MN,1990,residential,261,1
29327,17,MN,1960,residential,14971,0
19871,138,BK,1900,commercial,731,1
18022,152,BK,1990,residential,864,1
10642,309,MN,1990,residential,278,2
4231,13,MN,1960,industrial,3831,1
5553,372,MN,1990,commercial,336,2
11109,56,BX,1990,commercial,1375,1
3051,71,BK,1990,residential,164,1
70910,35,QN,1960,commercial,10351,0
3502,44,BK,1990,residential,789,1
2215,83,MN,1930,commercial,397,1
5116,88,MN,1900,industrial,314,1
27162,393,MN,1990,residential,9907,2
833,49,MN,1900,commercial,351,1
1311,64,MN,1900,commercial,235,1
13346,351,MN,1960,residential,737,2
1059,28,BK,1850,residential,121,1
35374,86,BK,1990,residential,4857,1
14737,31,BX,1930,commercial,2007,1
6661,113,MN,1900,residential,1045,1
3246,61,MN,1990,residential,891,1
5664,74,MN,1900,industrial,2834,1
8220,75,BK,1900,industrial,269,1
25180,48,MN,1930,residential,8440,1
1214,59,MN,1900,residential,473,1
31166,247,MN,1960,industrial,3267,2
54940,511,MN,1930,residential,6039,2
5038,53,MN,1900,commercial,1019,1
32605,253,MN,1990,commercial,931,2
28576,56,MN,1990,commercial,3724,1
6634,240,MN,1990,industrial,157,1
126149,74,MN,1990,commercial,55140,3
1245,42,MN,1930,residential,308,1
20328,74,MN,1990,commercial,3146,1
7973,142,MN,1960,commercial,391,1
20073,227,MN,1930,residential,581,1
35464,366,MN,1960,residential,2530,2
14019,69,BK,1930,industrial,1057,1
16666,127,MN,1900,commercial,7120,1
57712,176,MN,1960,commercial,2507,0
7981,185,MN,1960,industrial,280,1
35729,133,QN,1960,industrial,1339,1
51490,215,MN,1900,residential,571,1
41835,137,BX,1960,commercial,22102,0
92654,38,MN,1990,residential,4266,0
24223,20,QN,1930,commercial,718,1
16035,37,QN,1930,residential,1019,1
58958,191,BX,1930,commercial,8823,0
2049,62,MN,1900,industrial,1084,1
6349,104,MN,1900,residential,848,1
925,33,BX,1990,residential,719,1
11729,104,MN,1990,residential,658,1
27267,355,MN,1990,industrial,1171,2
12971,173,MN,1850,residential,615,1
1253,42,MN,1930,commercial,266,1
71774,162,MN,1960,commercial,5082,0
90706,483,MN,1960,commercial,15112,2
8679,146,MN,1900,residential,141,1
4088,75,MN,1900,residential,163,1
23710,382,MN,1990,commercial,6858,2
43174,591,MN,1990,commercial,9757,2
27431,446,MN,1990,commercial,4288,2
10579,132,BX,1990,commercial,1317,1
10586,258,MN,1990,commercial,367,1
5952,45,MN,1930,residential,1418,1
14609,57,MN,1960,residential,1074,1
7158,67,BX,1990,commercial,4492,1
647,49,BK,1900,commercial,115,1
862,35,BK,1900,commercial,470,1
58449,150,MN,1850,residential,380,0
23809,17,BK,1930,residential,216,1
2283,92,MN,1900,industrial,530,1
56132,27,MN,1930,residential,26045,3
1254,55,MN,1900,industrial,167,1
12477,8,BX,1960,residential,6935,1
16336,50,MN,1960,residential,1323,1
17263,76,BK,1900,residential,997,1
22751,213,MN,1990,industrial,873,1
1464,52,BK,1850,commercial,308,1
2558,38,BK,1930,industrial,327,1
14438,78,BX,1990,commercial,2678,1
11634,63,BX,1990,residential,1846,1
9559,67,BX,1990,industrial,2276,1
36217,142,MN,1960,commercial,12332,0
178941,76,QN,1960,residential,722,0
94358,145,BK,1990,residential,10755,0
59259,376,MN,1960,residential,2400,2
28514,34,MN,1990,residential,1797,1
30002,53,MN,1960,commercial,2649,1
10766,40,QN,1850,commercial,2155,1
4632,164,MN,1900,industrial,339,1
35424,97,MN,1960,commercial,2711,1
43540,217,MN,1990,commercial,4803,2
2182,80,MN,1990,commercial,193,1
2379,34,BK,1930,commercial,1134,1
133265,48,BX,1960,commercial,15220,0
5876,99,BX,1990,residential,729,1
17962,25,BK,1990,industrial,6789,1
20294,75,BX,1990,residential,8906,1
4429,52,BX,1930,residential,1849,1
6946,21,MN,1990,industrial,1821,1
4452,95,MN,1930,residential,176,1
35560,343,MN,1990,residential,1040,2
53465,449,MN,1990,commercial,2939,2
2111,46,MN,1900,residential,157,1
12299,13,BK,1990,residential,989,1
1274,39,MN,1850,commercial,264,1
1266,46,BK,1850,residential,84,1
52671,272,MN,1990,residential,12428,0
3267,71,MN,1930,residential,1889,1
3850,61,BK,1930,residential,522,1
48925,91,MN,1990,commercial,1928,1
47429,544,MN,1930,residential,15313,2
99099,64,MN,1960,residential,1072,0
5577,31,QN,1930,residential,829,1
27075,68,BK,1930,commercial,12897,0
17045,23,BK,1930,residential,8592,1
163243,259,MN,1930,residential,466,0
6414,104,MN,1800,residential,1525,1
2941,118,MN,1990,public,343,1
4350,175,MN,1990,industrial,309,1
20051,23,MN,1960,commercial,8139,1
2164,84,MN,1900,industrial,357,1
