,building_area,ratio_green_area,roof_height,ground_elev,xcoord,ycoord,borough,construction_year,digitized,area_type,green_roof_area,clusters_6
514,28015,0.36,226,8,-74.0111,40.71377,MN,1990,1,residential,10113,5
515,21675,0.04,241,7,-73.75292,40.59421,QN,1960,0,residential,914,1
516,550,0.14,35,60,-73.91665,40.74748,QN,1900,1,commercial,79,4
517,29251,0.09,548,63,-73.98394,40.75607,MN,1960,1,commercial,2569,5
518,8272,0.36,151,37,-73.98716,40.73285,MN,1960,1,residential,2960,3
519,17912,0.03,60,82,-73.92801,40.83798,BX,1990,0,residential,501,2
520,22348,0.03,30,42,-73.95362,40.69056,BK,1930,0,commercial,773,4
521,58969,0.06,219,63,-73.97956,40.75826,MN,1930,0,commercial,3389,5
522,885,0.54,43,77,-73.97545,40.67718,BK,1850,0,residential,475,4
523,155406,0.02,646,12,-74.01587,40.71269,MN,1960,0,residential,3321,5
524,6399,0.69,25,61,-73.97211,40.79544,MN,1930,0,commercial,4440,2
525,9830,0.26,129,17,-73.98178,40.7204,MN,1990,0,residential,2560,3
526,50858,0.04,47,21,-73.86328,40.73269,QN,1990,0,residential,2176,1
527,23980,0.12,52,49,-73.76503,40.70322,QN,1930,1,commercial,2787,1
528,1103,0.08,57,26,-73.94858,40.8067,MN,1900,1,residential,87,3
529,56374,0.04,626,60,-73.98516,40.75482,MN,1960,1,commercial,2497,5
530,6004,0.26,82,68,-73.97856,40.75805,MN,1930,0,residential,1549,3
531,13474,0.09,145,107,-73.96588,40.80419,MN,1990,0,residential,1175,2
532,46750,0.08,300,46,-73.9655,40.75794,MN,1960,0,commercial,3828,5
533,14459,0.33,228,17,-74.0155,40.71623,MN,1990,1,commercial,4728,3
534,19638,0.06,82,66,-73.96365,40.77465,MN,1930,0,residential,1205,3
535,28493,0.03,104,13,-74.01728,40.70791,MN,1990,0,residential,756,3
536,558,0.42,44,9,-73.97727,40.72563,MN,1850,0,residential,234,3
537,949,0.16,13,31,-73.88271,40.67293,BK,1930,0,commercial,153,4
538,12952,0.1,484,11,-74.00697,40.70742,MN,1990,0,residential,1240,5
539,2466,0.2,14,123,-73.98343,40.66546,BK,1930,0,residential,486,4
540,23959,0.01,95,16,-73.9443,40.74924,QN,1900,0,residential,287,3
541,1182,0.54,21,57,-73.99617,40.6924,BK,1900,1,commercial,639,4
542,1217,0.14,21,12,-73.98857,40.68176,BK,1930,1,residential,168,4
543,9351,0.17,171,17,-73.99994,40.71943,MN,1930,0,industrial,1589,3
544,23364,0.0,342,36,-73.99408,40.7517,MN,1900,0,residential,88,5
545,6885,0.08,132,56,-73.96997,40.7677,MN,1930,0,residential,554,3
546,9996,0.05,245,59,-73.95171,40.77717,MN,1990,0,industrial,546,3
547,1751,0.26,40,30,-73.98739,40.71865,MN,1900,0,commercial,457,3
548,115176,0.05,82,27,-73.92364,40.82216,BX,1990,0,residential,5852,1
549,65005,0.64,142,12,-73.97255,40.6984,BK,1930,1,commercial,41338,0
550,16469,0.04,184,33,-73.96432,40.75526,MN,1930,0,commercial,737,3
551,40902,0.31,188,14,-74.00926,40.73361,MN,1990,0,residential,12505,5
552,1012,0.58,48,95,-73.96584,40.80812,MN,1900,0,industrial,586,2
553,2525,0.35,72,109,-73.95737,40.78377,MN,1850,0,residential,890,2
554,46891,0.05,296,10,-73.93624,40.79179,MN,1960,0,commercial,2523,5
555,72811,0.06,295,13,-73.93756,40.7915,MN,1960,0,residential,4135,5
556,9129,0.13,75,19,-73.9373,40.80508,MN,1990,0,residential,1172,3
557,18106,0.17,20,50,-73.98809,40.66951,BK,1960,0,residential,2990,4
558,18475,0.08,194,65,-73.98768,40.76677,MN,1990,0,residential,1569,3
559,35291,0.01,511,75,-73.97903,40.75083,MN,1960,0,commercial,329,5
560,19383,0.2,166,-1,-73.99501,40.76155,MN,1960,0,residential,3915,3
561,2489,0.22,80,93,-73.96048,40.77957,MN,1930,0,residential,552,2
562,4977,0.44,59,70,-73.9658,40.77163,MN,1930,0,commercial,2188,2
563,280739,0.03,79,13,-73.84498,40.75786,QN,1990,1,residential,9075,1
564,1057,0.07,51,62,-73.95988,40.77465,MN,1850,0,residential,75,3
565,22411,0.24,119,25,-73.99681,40.74679,MN,1990,1,commercial,5342,3
566,11568,0.41,51,168,-73.88095,40.88708,BX,1930,1,public,4774,2
567,9723,0.12,88,33,-73.99013,40.68834,BK,1990,0,residential,1152,4
568,26346,0.11,137,22,-73.96811,40.71119,BK,1990,0,commercial,2855,4
569,8094,0.27,65,7,-73.97353,40.69837,BK,1930,1,public,2199,4
570,98911,0.15,834,64,-73.97996,40.75927,MN,1930,1,residential,14475,5
571,5614,0.04,111,29,-73.999,40.72112,MN,1850,0,commercial,228,3
572,9462,0.07,223,8,-74.01277,40.70294,MN,1960,0,industrial,651,3
573,10443,0.33,74,33,-73.95551,40.69492,BK,1930,1,commercial,3447,4
574,2486,0.1,75,54,-73.96981,40.76712,MN,1990,0,industrial,258,3
575,7700,0.12,83,29,-73.90833,40.8277,BX,1930,0,commercial,946,2
576,847,0.13,40,33,-73.87412,40.67618,BK,1990,0,industrial,109,4
577,56895,0.17,708,61,-73.97635,40.75611,MN,1930,1,residential,9836,5
578,4755,0.59,40,15,-73.95361,40.72654,BK,1900,0,industrial,2784,4
579,71264,0.04,755,35,-73.98978,40.75595,MN,1990,0,residential,3101,5
580,941,0.44,33,40,-73.93347,40.75316,QN,1900,0,commercial,418,2
581,66989,0.0,389,48,-73.97564,40.75268,MN,1900,0,residential,144,5
582,11307,0.22,119,31,-73.9155,40.82228,BX,1990,1,industrial,2489,2
583,2050,0.18,28,34,-73.99574,40.67773,BK,1930,0,industrial,364,4
584,48360,0.11,252,36,-73.99328,40.755,MN,1990,1,commercial,5086,5
585,1855,0.3,62,34,-73.98932,40.72547,MN,1900,0,residential,557,3
586,5385,0.28,64,90,-73.95637,40.67751,BK,1930,1,residential,1527,4
587,14728,0.09,275,14,-74.01571,40.71739,MN,1990,0,commercial,1283,3
588,4491,0.09,144,32,-74.00728,40.7141,MN,1850,0,residential,418,3
589,13116,0.04,166,2,-74.0047,40.74748,MN,1990,0,industrial,520,3
590,1953,0.13,85,10,-74.00281,40.72067,MN,1900,0,residential,258,3
591,9890,0.02,256,58,-73.9704,40.74882,MN,1900,0,commercial,209,3
592,31007,0.2,214,42,-73.98997,40.73003,MN,1990,1,commercial,6223,5
593,16830,0.03,184,106,-73.96633,40.80382,MN,1990,0,industrial,578,2
594,15871,0.04,277,27,-74.00426,40.71409,MN,1900,0,residential,587,3
595,21137,0.24,258,18,-73.97999,40.73808,MN,1960,0,commercial,5016,5
596,34106,0.04,49,43,-73.87304,40.84182,BX,1960,0,residential,1492,2
597,18384,0.05,74,75,-73.95385,40.77832,MN,1990,0,commercial,999,3
598,23929,0.2,283,40,-73.972,40.75283,MN,1960,0,commercial,4780,5
599,1926,0.07,60,84,-73.9756,40.77917,MN,1900,0,industrial,136,3
600,1096,0.17,35,63,-73.99392,40.6998,BK,1800,1,commercial,187,4
601,1497,0.06,54,66,-73.96605,40.77269,MN,1900,0,commercial,97,3
602,7114,0.06,29,18,-73.94728,40.78878,MN,1930,0,residential,434,3
603,11265,0.16,107,70,-73.95413,40.82404,MN,1990,1,residential,1810,2
604,11315,0.18,80,18,-73.93732,40.82763,MN,1990,1,residential,2089,2
605,28215,0.51,77,31,-73.99438,40.74646,MN,1960,1,residential,14489,4
606,18965,0.01,100,42,-73.99104,40.72454,MN,1990,0,residential,261,3
607,29327,0.51,17,8,-73.97574,40.72715,MN,1960,0,residential,14971,4
608,19871,0.04,138,56,-73.98843,40.70045,BK,1900,0,commercial,731,4
609,18022,0.05,152,22,-73.98283,40.69726,BK,1990,0,residential,864,3
610,10642,0.03,309,28,-73.99464,40.73745,MN,1990,0,residential,278,3
611,4231,0.91,13,26,-73.98404,40.71603,MN,1960,0,industrial,3831,4
612,5553,0.06,372,40,-73.98419,40.74444,MN,1990,0,commercial,336,5
613,11109,0.12,56,30,-73.84443,40.83901,BX,1990,0,commercial,1375,2
614,3051,0.05,71,84,-73.98984,40.6655,BK,1990,0,residential,164,4
615,70910,0.15,35,14,-73.95274,40.75167,QN,1960,1,commercial,10351,1
616,3502,0.23,44,41,-73.94073,40.71351,BK,1990,0,residential,789,4
617,2215,0.18,83,24,-74.00934,40.71427,MN,1930,1,commercial,397,3
618,5116,0.06,88,41,-73.99296,40.72532,MN,1900,0,industrial,314,3
619,27162,0.36,393,10,-74.017,40.70692,MN,1990,1,residential,9907,5
620,833,0.42,49,96,-73.95347,40.78336,MN,1900,0,commercial,351,2
621,1311,0.18,64,84,-73.97721,40.77783,MN,1900,0,commercial,235,3
622,13346,0.06,351,61,-73.96441,40.76005,MN,1960,0,residential,737,5
623,1059,0.11,28,85,-73.97132,40.68707,BK,1850,0,residential,121,4
624,35374,0.14,86,8,-73.96361,40.71915,BK,1990,0,residential,4857,3
625,14737,0.14,31,29,-73.92306,40.80524,BX,1930,0,commercial,2007,2
626,6661,0.16,113,21,-73.99965,40.72626,MN,1900,0,residential,1045,3
627,3246,0.27,61,110,-73.94422,40.82769,MN,1990,0,residential,891,2
628,5664,0.5,74,131,-73.95969,40.80815,MN,1900,0,industrial,2834,2
629,8220,0.03,75,15,-73.95208,40.71345,BK,1900,0,industrial,269,3
630,25180,0.34,48,25,-73.99912,40.73546,MN,1930,1,residential,8440,3
631,1214,0.39,59,12,-74.00809,40.73632,MN,1900,0,residential,473,3
632,31166,0.1,247,38,-73.9705,40.75688,MN,1960,0,industrial,3267,5
633,54940,0.11,511,71,-73.97733,40.75899,MN,1930,0,residential,6039,5
634,5038,0.2,53,8,-74.00575,40.74724,MN,1900,0,commercial,1019,3
635,32605,0.03,253,40,-73.99698,40.75679,MN,1990,0,commercial,931,5
636,28576,0.13,56,15,-73.93957,40.79987,MN,1990,0,commercial,3724,3
637,6634,0.02,240,16,-73.99718,40.76103,MN,1990,0,industrial,157,3
638,126149,0.44,74,9,-73.93698,40.82205,MN,1990,1,commercial,55140,0
639,1245,0.25,42,33,-73.94342,40.79965,MN,1930,0,residential,308,3
640,20328,0.15,74,16,-74.0028,40.74507,MN,1990,0,commercial,3146,3
641,7973,0.05,142,6,-74.00355,40.72286,MN,1960,0,commercial,391,3
642,20073,0.03,227,8,-74.00611,40.70648,MN,1930,0,residential,581,3
643,35464,0.07,366,58,-73.9885,40.76289,MN,1960,0,residential,2530,5
644,14019,0.08,69,9,-73.97758,40.69862,BK,1930,0,industrial,1057,4
645,16666,0.43,127,41,-73.98952,40.73855,MN,1900,0,commercial,7120,3
646,57712,0.04,176,14,-74.01387,40.7179,MN,1960,0,commercial,2507,5
647,7981,0.04,185,32,-73.97831,40.74053,MN,1960,0,industrial,280,3
648,35729,0.04,133,32,-73.93289,40.77479,QN,1960,0,industrial,1339,3
649,51490,0.01,215,40,-73.98999,40.74224,MN,1900,0,residential,571,3
650,41835,0.53,137,167,-73.90921,40.89512,BX,1960,0,commercial,22102,2
651,92654,0.05,38,30,-73.99233,40.76789,MN,1990,1,residential,4266,5
652,24223,0.03,20,54,-73.91566,40.74985,QN,1930,1,commercial,718,3
653,16035,0.06,37,18,-73.86563,40.7317,QN,1930,1,residential,1019,1
654,58958,0.15,191,62,-73.92408,40.82633,BX,1930,0,commercial,8823,2
655,2049,0.53,62,76,-73.97685,40.7865,MN,1900,1,industrial,1084,2
656,6349,0.13,104,10,-74.00254,40.72096,MN,1900,0,residential,848,3
657,925,0.78,33,61,-73.89362,40.85424,BX,1990,0,residential,719,2
658,11729,0.06,104,25,-74.0074,40.71486,MN,1990,0,residential,658,3
659,27267,0.04,355,13,-74.00325,40.7528,MN,1990,0,industrial,1171,5
660,12971,0.05,173,10,-74.00561,40.72136,MN,1850,0,residential,615,3
661,1253,0.21,42,9,-73.93792,40.80187,MN,1930,0,commercial,266,3
662,71774,0.07,162,14,-74.01522,40.71501,MN,1960,0,commercial,5082,5
663,90706,0.17,483,66,-73.97989,40.7624,MN,1960,0,commercial,15112,5
664,8679,0.02,146,87,-73.95416,40.78075,MN,1900,0,residential,141,3
665,4088,0.04,75,14,-74.00832,40.71709,MN,1900,0,residential,163,3
666,23710,0.29,382,25,-73.99188,40.77077,MN,1990,1,commercial,6858,5
667,43174,0.23,591,72,-73.9837,40.76496,MN,1990,0,commercial,9757,5
668,27431,0.16,446,10,-74.01769,40.70575,MN,1990,1,commercial,4288,5
