,building_area,ratio_green_area,roof_height,ground_elev,xcoord,ycoord,borough,construction_year,digitized,area_type,green_roof_area,clusters_6
11,86153,0.02,568,65,-73.97867,40.76009,MN,1960,0,commercial,2010,5
14,29374,0.04,410,40,-73.99113,40.74436,MN,1990,0,commercial,1237,5
35,47633,0.06,609,25,-73.99449,40.75899,MN,1990,0,industrial,2634,5
43,30570,0.04,222,83,-73.95527,40.77893,MN,1990,0,commercial,1358,5
62,30171,0.15,356,35,-73.98913,40.7716,MN,1990,0,residential,4479,5
65,30685,0.23,269,53,-73.97294,40.75945,MN,1930,0,commercial,6957,5
80,26198,0.07,249,40,-73.97365,40.75062,MN,1990,0,commercial,1854,5
84,27743,0.04,355,28,-73.96303,40.75462,MN,1930,0,industrial,975,5
88,66508,0.06,328,10,-74.00349,40.75177,MN,1990,0,residential,3798,5
89,52632,0.01,1408,5,-74.0128,40.71256,MN,1990,0,commercial,788,5
91,23767,0.18,384,24,-73.95931,40.75985,MN,1990,0,commercial,4321,5
92,48599,0.19,467,4,-73.94298,40.74852,QN,1990,0,commercial,9109,5
105,16322,0.41,284,13,-74.01615,40.71665,MN,1990,1,industrial,6688,5
114,145737,0.03,714,84,-73.9833,40.76811,MN,1990,0,residential,4848,5
117,62952,0.01,245,11,-74.00637,40.72364,MN,1930,0,residential,545,5
126,81471,0.06,442,36,-73.98658,40.74159,MN,1930,0,residential,5171,5
132,44246,0.2,297,81,-73.99243,40.6977,BK,1960,0,residential,8855,5
147,69806,0.14,740,9,-74.01452,40.71437,MN,1990,1,residential,9737,5
151,23565,0.06,405,68,-73.98399,40.76431,MN,1990,0,residential,1496,5
169,85500,0.09,1238,50,-73.98571,40.74847,MN,1930,1,industrial,7992,5
176,23141,0.03,301,78,-73.98141,40.77552,MN,1960,0,industrial,764,5
177,94054,0.06,50,14,-73.99309,40.7715,MN,1990,0,residential,5942,5
191,14925,0.13,363,86,-73.97041,40.79703,MN,1990,0,industrial,1961,5
192,10848,0.06,382,16,-73.95007,40.76809,MN,1960,0,residential,630,5
193,19852,0.09,450,33,-73.99239,40.74406,MN,1990,0,residential,1736,5
194,33931,0.01,289,88,-73.95592,40.78017,MN,1960,0,commercial,422,5
199,76799,0.04,178,10,-74.00847,40.73639,MN,1900,0,industrial,3102,5
204,52983,0.15,700,44,-73.98612,40.75782,MN,1960,1,commercial,8144,5
209,24772,0.01,332,37,-73.95478,40.76596,MN,1960,0,commercial,214,5
212,133204,0.0,320,43,-73.98971,40.75079,MN,1930,0,commercial,610,5
214,26020,0.1,320,11,-74.00535,40.72354,MN,1990,0,residential,2601,5
220,18317,0.41,342,35,-73.97444,40.75028,MN,1930,0,commercial,7457,5
242,22095,0.03,605,40,-73.9903,40.74864,MN,1990,1,commercial,699,5
250,23806,0.06,295,79,-73.98137,40.76737,MN,1930,0,residential,1398,5
251,17920,0.04,336,76,-73.97954,40.75149,MN,1900,0,commercial,734,5
255,35650,0.15,299,16,-74.01662,40.71046,MN,1960,0,residential,5178,5
258,24043,0.02,319,39,-73.97128,40.75372,MN,1960,0,industrial,363,5
261,36956,0.05,331,41,-73.99022,40.75277,MN,1900,0,commercial,1929,5
271,20021,0.33,491,64,-73.97882,40.76123,MN,1960,0,industrial,6688,5
275,71917,0.08,92,74,-73.98408,40.77341,MN,1960,1,commercial,5484,5
279,157733,0.06,296,49,-74.0245,40.63926,BK,1960,0,residential,9518,5
280,45605,0.07,328,9,-73.99124,40.77394,MN,1990,0,residential,3103,5
286,76300,0.17,273,43,-73.98913,40.73458,MN,1960,1,commercial,12892,5
294,47340,0.09,259,44,-73.99051,40.73406,MN,1990,0,residential,4063,5
297,34048,0.13,294,73,-73.99219,40.6984,BK,1960,0,commercial,4347,5
300,127092,0.02,191,9,-74.00009,40.69312,BK,1900,0,residential,2441,5
301,24653,0.1,300,9,-74.01216,40.71663,MN,1990,0,industrial,2467,5
306,27154,0.05,403,33,-73.95236,40.76685,MN,1960,0,public,1315,5
314,14670,0.13,378,10,-74.01719,40.70619,MN,1990,1,residential,1912,5
319,55894,0.19,319,11,-73.95619,40.74564,QN,1990,0,residential,10549,5
330,62229,0.21,155,9,-74.01203,40.71556,MN,1990,0,industrial,13361,5
352,24645,0.18,506,80,-73.98177,40.77015,MN,1990,0,commercial,4483,5
362,28794,0.11,340,25,-73.98939,40.77562,MN,1990,0,industrial,3071,5
365,25382,0.07,370,52,-73.98302,40.75801,MN,1960,0,commercial,1650,5
379,78619,0.08,393,6,-73.95598,40.7478,QN,1990,0,residential,6672,5
384,26073,0.15,353,40,-73.98979,40.75867,MN,1990,1,residential,3893,5
395,14642,0.1,422,59,-73.96581,40.76221,MN,1960,0,residential,1426,5
396,31661,0.02,597,36,-73.98936,40.75634,MN,1900,0,residential,606,5
400,28866,0.04,446,75,-73.98267,40.76588,MN,1960,0,commercial,1286,5
424,6389,0.08,378,10,-73.94986,40.76804,MN,1960,0,residential,489,5
427,20184,0.03,627,8,-73.98587,40.69161,BK,1990,0,commercial,554,5
431,39351,0.32,192,15,-74.01088,40.71437,MN,1960,1,residential,12724,5
433,23096,0.17,355,12,-74.016,40.71569,MN,1990,1,commercial,3998,5
443,58522,0.1,291,29,-73.98009,40.74458,MN,1960,0,residential,6141,5
448,38129,0.04,425,23,-73.94763,40.78512,MN,1990,0,industrial,1659,5
462,60505,0.01,480,69,-73.97693,40.76028,MN,1930,0,residential,788,5
464,85062,0.06,887,60,-73.98505,40.75573,MN,1990,1,commercial,5126,5
469,42864,0.1,350,8,-73.9591,40.74323,QN,1990,0,commercial,4487,5
478,11857,0.08,303,52,-73.98443,40.76018,MN,1990,0,commercial,980,5
480,13288,0.15,431,62,-73.97472,40.75965,MN,1930,0,commercial,1930,5
483,46783,0.02,272,60,-73.98025,40.7589,MN,1930,0,commercial,773,5
494,140402,0.06,60,2,-74.07381,40.64427,SI,1930,1,residential,8971,5
495,37743,0.17,301,9,-73.95816,40.74385,QN,1990,0,residential,6280,5
496,100293,0.11,28,7,-73.97324,40.73741,MN,1960,0,commercial,11006,5
497,18377,0.28,355,12,-74.01482,40.71592,MN,1990,1,industrial,5209,5
498,35050,0.04,306,17,-73.99695,40.76226,MN,1930,0,industrial,1299,5
501,32520,0.04,595,103,-73.98506,40.69158,BK,1990,0,commercial,1336,5
505,139709,0.03,258,56,-74.02255,40.63814,BK,1960,0,residential,3637,5
506,30244,0.26,208,37,-73.9935,40.73544,MN,1990,0,commercial,7864,5
508,35647,0.14,476,71,-73.97917,40.75124,MN,1930,0,residential,4853,5
514,28015,0.36,226,8,-74.0111,40.71377,MN,1990,1,residential,10113,5
517,29251,0.09,548,63,-73.98394,40.75607,MN,1960,1,commercial,2569,5
521,58969,0.06,219,63,-73.97956,40.75826,MN,1930,0,commercial,3389,5
523,155406,0.02,646,12,-74.01587,40.71269,MN,1960,0,residential,3321,5
529,56374,0.04,626,60,-73.98516,40.75482,MN,1960,1,commercial,2497,5
532,46750,0.08,300,46,-73.9655,40.75794,MN,1960,0,commercial,3828,5
538,12952,0.1,484,11,-74.00697,40.70742,MN,1990,0,residential,1240,5
544,23364,0.0,342,36,-73.99408,40.7517,MN,1900,0,residential,88,5
551,40902,0.31,188,14,-74.00926,40.73361,MN,1990,0,residential,12505,5
