green_roof_area,building_area,ratio_green_area,construction_year,roof_height,ground_elev,digitized,borough,xcoord,ycoord,area_type
1886,24267,0.08,1900,299,9,1,MN,-74.01086,40.70604,residential
1380,6938,0.2,1990,83,87,0,BX,-73.92575,40.83384,commercial
3798,66508,0.06,1990,328,10,0,MN,-74.00349,40.75177,residential
788,52632,0.01,1990,1408,5,0,MN,-74.0128,40.71256,commercial
4603,23032,0.2,1990,53,5,0,MN,-74.01389,40.71042,commercial
4321,23767,0.18,1990,384,24,0,MN,-73.95931,40.75985,commercial
9109,48599,0.19,1990,467,4,0,QN,-73.94298,40.74852,commercial
1329,4169,0.32,1990,72,80,0,BX,-73.89147,40.84769,industrial
2412,33425,0.07,1930,89,8,0,BK,-73.95152,40.71706,residential
564,2361,0.24,1900,41,30,0,MN,-73.98755,40.71872,industrial
779,1031,0.76,1900,31,157,1,BK,-73.97712,40.66538,commercial
853,10128,0.08,1900,101,73,0,MN,-73.95336,40.81554,residential
1232,1670,0.74,1990,58,25,0,BX,-73.91903,40.85364,residential
98,1414,0.07,1990,41,92,1,BK,-73.99237,40.66047,residential
2748,5647,0.49,1900,89,27,0,MN,-73.99771,40.71966,residential
9743,12154,0.8,1930,20,8,1,BK,-74.01111,40.67389,commercial
1062,10531,0.1,1930,77,6,0,MN,-74.00649,40.74748,industrial
272,1407,0.19,1990,59,24,0,BX,-73.91896,40.85369,industrial
1201,4302,0.28,1900,48,64,0,BK,-73.93694,40.69895,residential
6688,16322,0.41,1990,284,13,1,MN,-74.01615,40.71665,industrial
4805,30457,0.16,1990,93,104,0,BX,-73.92,40.84155,residential
6043,9654,0.63,1990,69,14,0,MN,-73.93766,40.79884,residential
810,15668,0.05,1990,146,13,0,MN,-73.97527,40.74387,residential
230,1709,0.13,1990,59,24,0,BX,-73.91895,40.85377,residential
1415,2389,0.59,1990,71,28,0,BX,-73.91884,40.85386,residential
1742,8567,0.2,1900,173,83,0,MN,-73.96263,40.77804,residential
1600,2343,0.68,1990,51,32,0,BX,-73.91868,40.85401,residential
578,5771,0.1,1990,146,8,1,MN,-73.94113,40.78862,residential
4848,145737,0.03,1990,714,84,0,MN,-73.9833,40.76811,residential
